"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1629.6/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xbc9e6564db284e5dbe74b6115b03595a6599d723c4aa27b84c0d20299d2b6335","16994687","1680846851","2023-04-07 05:54:11","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0x240f0c4745e69a35f883bb597a286871fb3a41c9","","0","0.00936","15.253056","0.000510835856643","0.832458111985433","1864.80","","","Transfer"
"0x8a8efb40cb8d70c0844c25bcca848fdab6608ba6f0c47a8002d279d9b9681b3c","16994739","1680847475","2023-04-07 06:04:35","0xd108fd0e8c8e71552a167e7a44ff1d345d233ba6","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","","0.0165","0","26.8884","0.000523488241164","0.853076437800854","1864.80","","","Transfer"
"0xf83945dc4a1626e9ca77d32b70d5a8db065ae68142418a822f755075b46ef8cd","16994744","1680847535","2023-04-07 06:05:35","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0xb6cd3772b30cef7c13f2a82ab9b9a735329ce858","","0","0.01631","26.578776","0.000466159256136","0.759653123799226","1864.80","","","Transfer"
"0x44255b8abf5377321160a8062293c77275916666b623a69a41b4a5e76404f321","16995018","1680850871","2023-04-07 07:01:11","0xb287eac48ab21c5fb1d3723830d60b4c797555b0","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","","0.0279","0","45.46584","0.000602537607798","0.981895285667621","1864.80","","","Transfer"
"0xfa20a62d2e8c6992e83c2f40caf00f238ac64d3f84407ff4633c1be540e7c999","16995021","1680850907","2023-04-07 07:01:47","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0x0b39af1baf8fe97fa14d388a411df98dda1d5958","","0","0.00803","13.085688","0.000523941086529","0.853814394607658","1864.80","","","Transfer"
"0x3e1d059567a766199842e2e118026676fa7afd2f987114838edb0a6d509b3c5d","16995023","1680850931","2023-04-07 07:02:11","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0x240f0c4745e69a35f883bb597a286871fb3a41c9","","0","0.01875","30.555","0.000539535293241","0.879226713865534","1864.80","","","Transfer"
"0xd8753cb41edd58a8a18165facdac521e5f3f9ba4e2aeba6753c563132dbb2e8e","16995693","1680859199","2023-04-07 09:19:59","0xc94ebb328ac25b95db0e0aa968371885fa516215","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","","0.080457306202746586","0","131.113226187996","0.000426909477645","0.695691684770292","1864.80","","","Transfer"
"0xccd28a0eeef80f5c0b001b7a9ff785b8400b753db46ae54d642cc576dd2f98cd","16995782","1680860291","2023-04-07 09:38:11","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0x3b2a6504c4d31779b3aeb534e3f0671d16342c06","","0","0.0798246016186012","130.082170797672","0.000485366581896","0.790953381857722","1864.80","","","Transfer"
"0x332a7c8078d901e4b066fc33b33dde8699b8438a09db932dea138ef6eaf3f93a","16996046","1680863555","2023-04-07 10:32:35","0xb287eac48ab21c5fb1d3723830d60b4c797555b0","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","","0.012","0","19.5552","0.000467110025571","0.761202497670502","1864.80","","","Transfer"
"0xa2096099fcbecdf67a81a60921cf55731e63a621fc342f93420b2b2efecdbc70","16996049","1680863591","2023-04-07 10:33:11","0x6e5fada17f771d4cbe790ecea1367c42b311b3ca","0x968b8e9c5ea7a67b0d02acb74c34e4ccd8d4797f","","0","0.01157","18.854472","0.000422488943142","0.688487981744203","1864.80","","","Transfer"
